Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,243.080002,245.750000,237.399994,239.580002,238.981430,25740000
2023-01-04,232.279999,232.869995,225.960007,229.100006,228.527618,50623400
2023-01-05,227.199997,227.550003,221.759995,222.309998,221.754562,39585600
2023-01-06,223.000000,225.759995,219.350006,224.929993,224.368011,43613600
2023-01-09,226.449997,231.240005,226.410004,227.119995,226.552551,27369800
2023-01-10,227.759995,231.309998,227.330002,228.850006,228.278229,27033900
2023-01-11,231.289993,235.949997,231.110001,235.770004,235.180939,28669300
2023-01-12,235.259995,239.899994,233.559998,238.509995,237.914093,27269500
2023-01-13,237.000000,239.369995,234.919998,239.229996,238.632294,21333300
2023-01-17,237.970001,240.910004,237.089996,240.350006,239.749512,29831300
2023-01-18,241.570007,242.380005,235.520004,235.809998,235.220840,30028700
2023-01-19,233.779999,235.520004,230.679993,231.929993,231.350525,28623000
2023-01-20,234.860001,240.740005,234.509995,240.220001,239.619827,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,241.973923,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,241.435272,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,240.008850,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,247.380386,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,247.539993,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,242.103607,25867400
